"latitude","longitude","spawning.events.in.patch","spawning.habitat.quality","prey.eaten.in.patch","patchtype"
41.3544858093618,-70.8012667551318,0,"0","0","0"
41.3544858093618,-70.8010642261421,0,"0","0","0"
41.3544858093618,-70.8008616971525,0,"0","0","0"
41.3544858093618,-70.8006591681628,0,"0","0","0"
41.3544858093618,-70.8004566391732,0,"0","0","0"
41.3544858093618,-70.8002541101835,0,"0","0","0"
41.3544858093618,-70.8000515811938,0,"0","0","0"
41.3544858093618,-70.7998490522042,0,"0","0","0"
41.3544858093618,-70.7996465232145,0,"0","0","0"
41.3544858093618,-70.7994439942249,0,"0","0","0"
41.3544858093618,-70.7992414652352,0,"0","0","0"
41.3544858093618,-70.7990389362455,0,"0","0","0"
41.3544858093618,-70.7988364072559,0,"0","0","0"
41.3544858093618,-70.7986338782662,0,"0","0","0"
41.3544858093618,-70.7984313492765,0,"0","0","0"
41.3544858093618,-70.7982288202869,0,"0","0","0"
41.3544858093618,-70.7980262912972,0,"0","0","0"
41.3544858093618,-70.7978237623076,0,"0","0","0"
41.3544858093618,-70.7976212333179,0,"0","0","0"
41.3544858093618,-70.7974187043282,0,"0","0","0"
41.3544858093618,-70.7972161753386,0,"0","0","0"
41.3544858093618,-70.7970136463489,0,"0","0","0"
41.3544858093618,-70.7968111173593,0,"0","0","0"
41.3544858093618,-70.7966085883696,0,"0","0","0"
41.3544858093618,-70.7964060593799,0,"0","0","0"
41.3544858093618,-70.7962035303903,0,"0","0","0"
41.3544858093618,-70.7960010014006,0,"0","0","0"
41.3544858093618,-70.795798472411,0,"0","0","0"
41.3544858093618,-70.7955959434213,0,"0","0","0"
41.3544858093618,-70.7953934144316,0,"0","0","0"
41.3544858093618,-70.795190885442,0,"0","0","0"
41.3544858093618,-70.7949883564523,0,"0","0","0"
41.3544858093618,-70.7947858274626,0,"0","0","0"
41.3544858093618,-70.794583298473,0,"0","0","0"
41.3544858093618,-70.7943807694833,0,"0","0","0"
41.3544858093618,-70.7941782404937,0,"0","0","0"
41.3544858093618,-70.793975711504,0,"0","0","0"
41.3544858093618,-70.7937731825143,0,"0","0","0"
41.3544858093618,-70.7935706535247,0,"0","0","0"
41.3544858093618,-70.793368124535,0,"0","0","0"
41.3544858093618,-70.7931655955453,0,"0","0","0"
41.3544858093618,-70.7929630665557,0,"0","0","0"
41.3544858093618,-70.792760537566,0,"0","0","0"
41.3544858093618,-70.7925580085764,0,"0","0","0"
41.3544858093618,-70.7923554795867,0,"0","0","0"
41.3544858093618,-70.792152950597,0,"0","0","0"
41.3544858093618,-70.7919504216074,0,"0","0","0"
41.3544858093618,-70.7917478926177,0,"0","0","0"
41.3544858093618,-70.791545363628,0,"0","0","0"
41.3544858093618,-70.7913428346384,0,"0","0","0"
41.3544858093618,-70.7911403056487,0,"0","0","0"
41.3544858093618,-70.7909377766591,0,"0","0","0"
41.3544858093618,-70.7907352476694,0,"0","0","0"
41.3544858093618,-70.7905327186797,0,"0","0","0"
41.3544858093618,-70.7903301896901,0,"0","0","0"
41.3544858093618,-70.7901276607004,0,"0","0","0"
41.3544858093618,-70.7899251317108,0,"0","0","0"
41.3544858093618,-70.7897226027211,0,"0","0","0"
41.3544858093618,-70.7895200737314,0,"0","0","0"
41.3544858093618,-70.7893175447418,0,"0","0","0"
41.3544858093618,-70.7891150157521,0,"0","0","0"
41.3544858093618,-70.7889124867625,0,"0","0","0"
41.3544858093618,-70.7887099577728,0,"0","0","0"
41.3544858093618,-70.7885074287831,0,"0","0","0"
41.3544858093618,-70.7883048997935,0,"0","0","0"
41.3544858093618,-70.7881023708038,0,"0","0","0"
41.3544858093618,-70.7878998418141,0,"0","0","0"
41.3544858093618,-70.7876973128245,0,"0","0","0"
41.3544858093618,-70.7874947838348,0,"0","0","0"
41.3544858093618,-70.7872922548452,0,"0","0","0"
41.3544858093618,-70.7870897258555,0,"0","0","0"
41.3544858093618,-70.7868871968658,0,"0","0","0"
41.3544858093618,-70.7866846678762,0,"0","0","0"
41.3544858093618,-70.7864821388865,0,"0","0","0"
41.3544858093618,-70.7862796098969,0,"0","0","0"
41.3544858093618,-70.7860770809072,0,"0","0","0"
41.3544858093618,-70.7858745519175,0,"0","0","0"
41.3544858093618,-70.7856720229279,0,"0","0","0"
41.3544858093618,-70.7854694939382,0,"0","0","0"
41.3544858093618,-70.7852669649485,0,"0","0","0"
41.3544858093618,-70.7850644359589,0,"0","0","0"
41.3544858093618,-70.7848619069692,0,"0","0","0"
41.3544858093618,-70.7846593779796,0,"0","0","0"
41.3544858093618,-70.7844568489899,0,"0","0","0"
